Rettangoli_naif Trapezi Simpson
0.0844824 -0.00143166 -9.53466e-07
0.000858998 -1.4319e-07 -1.02141e-14
0.000429535 -3.57975e-08 6.66134e-16
0.000286364 -1.591e-08 -1.9984e-15
0.000214776 -8.94938e-09 1.77636e-15
0.000171822 -5.7276e-09 -1.33227e-15
0.000143186 -3.9775e-09 1.77636e-15
0.000122731 -2.92225e-09 -3.33067e-15
0.00010739 -2.23735e-09 -5.10703e-15
9.54583e-05 -1.76778e-09 -5.32907e-15
8.59127e-05 -1.4319e-09 5.55112e-15
7.81025e-05 -1.18339e-09 -3.55271e-15
7.15941e-05 -9.94386e-10 -8.65974e-15
6.60869e-05 -8.4728e-10 -2.44249e-15
6.13665e-05 -7.3056e-10 5.32907e-15
5.72754e-05 -6.364e-10 -3.33067e-15
5.36957e-05 -5.59332e-10 8.88178e-15
5.05372e-05 -4.95472e-10 -7.10543e-15
4.77296e-05 -4.41946e-10 -2.88658e-15
4.52175e-05 -3.96653e-10 -4.44089e-15
4.29567e-05 -3.57975e-10 9.76996e-15
4.09111e-05 -3.24697e-10 6.88338e-15
3.90516e-05 -2.95849e-10 -1.77636e-15
3.73537e-05 -2.70696e-10 -1.77636e-15
3.57973e-05 -2.48589e-10 5.32907e-15
3.43654e-05 -2.29106e-10 -1.11022e-15
3.30437e-05 -2.11826e-10 -2.88658e-15
3.18198e-05 -1.96426e-10 -1.11022e-14
3.06834e-05 -1.82647e-10 -1.02141e-14
2.96254e-05 -1.70261e-10 8.21565e-15
2.86379e-05 -1.59094e-10 -9.99201e-15
2.77141e-05 -1.48992e-10 -1.33227e-15
2.6848e-05 -1.39831e-10 -1.11022e-15
2.60344e-05 -1.31486e-10 1.55431e-14
2.52687e-05 -1.23871e-10 8.88178e-15
2.45468e-05 -1.1689e-10 7.54952e-15
2.38649e-05 -1.10491e-10 -5.32907e-15
2.32199e-05 -1.046e-10 3.9968e-15
2.26089e-05 -9.91609e-11 3.55271e-15
2.20292e-05 -9.41487e-11 -3.9968e-15
2.14784e-05 -8.94989e-11 4.44089e-15
2.09546e-05 -8.5177e-11 6.66134e-16
2.04557e-05 -8.11797e-11 -5.10703e-15
1.99799e-05 -7.74325e-11 -1.55431e-15
1.95259e-05 -7.39513e-11 5.32907e-15
1.90919e-05 -7.07201e-11 1.22125e-14
1.86769e-05 -6.76583e-11 6.88338e-15
1.82795e-05 -6.48057e-11 5.32907e-15
1.78987e-05 -6.21534e-11 1.75415e-14
1.75334e-05 -5.96374e-11 -1.08802e-14
1.71828e-05 -5.72768e-11 1.66533e-14
1.68458e-05 -5.50555e-11 4.44089e-16
1.65219e-05 -5.29472e-11 -1.02141e-14
1.62102e-05 -5.09854e-11 -1.17684e-14
1.591e-05 -4.91203e-11 -9.99201e-15
1.56207e-05 -4.73375e-11 1.15463e-14
1.53418e-05 -4.56681e-11 -6.88338e-15
1.50726e-05 -4.40676e-11 -2.44249e-15
1.48127e-05 -4.25526e-11 1.55431e-15
1.45617e-05 -4.11422e-11 1.08802e-14
1.4319e-05 -3.97857e-11 5.55112e-15
1.40842e-05 -3.84879e-11 8.88178e-16
1.38571e-05 -3.72717e-11 -1.31006e-14
1.36371e-05 -3.60774e-11 -1.17684e-14
1.3424e-05 -3.49567e-11 -1.55431e-15
1.32175e-05 -3.38953e-11 -3.55271e-15
1.30173e-05 -3.28728e-11 2.44249e-15
1.2823e-05 -3.18814e-11 2.66454e-15
1.26344e-05 -3.09646e-11 -7.10543e-15
1.24513e-05 -3.00773e-11 -1.84297e-14
1.22734e-05 -2.92166e-11 9.76996e-15
1.21005e-05 -2.84091e-11 -3.9968e-15
1.19325e-05 -2.76115e-11 0
1.1769e-05 -2.68778e-11 -2.15383e-14
1.161e-05 -2.6154e-11 -1.19904e-14
1.14552e-05 -2.5455e-11 -8.21565e-15
1.13045e-05 -2.47951e-11 1.06581e-14
1.11577e-05 -2.41664e-11 -1.95399e-14
1.10146e-05 -2.35458e-11 1.42109e-14
1.08752e-05 -2.29441e-11 1.13243e-14
1.07392e-05 -2.23768e-11 -1.28786e-14
1.06067e-05 -2.18321e-11 3.33067e-15
1.04773e-05 -2.13081e-11 -5.9952e-15
1.03511e-05 -2.07963e-11 2.5091e-14
1.02278e-05 -2.02904e-11 1.55431e-15
1.01075e-05 -1.98155e-11 1.62093e-14
9.98999e-06 -1.93721e-11 5.32907e-15
9.87516e-06 -1.8922e-11 -1.04361e-14
9.76295e-06 -1.84928e-11 -2.88658e-15
9.65325e-06 -1.8076e-11 2.22045e-15
9.54599e-06 -1.76568e-11 -9.54792e-15
9.44109e-06 -1.73195e-11 -8.88178e-15
9.33847e-06 -1.69198e-11 9.76996e-15
9.23806e-06 -1.65419e-11 -9.76996e-15
9.13978e-06 -1.62039e-11 2.66454e-15
9.04357e-06 -1.58438e-11 4.88498e-15
8.94937e-06 -1.55371e-11 -1.59872e-14
8.85711e-06 -1.52443e-11 8.88178e-16
8.76673e-06 -1.49443e-11 -1.37668e-14
8.67818e-06 -1.46063e-11 -1.5099e-14
8.59139e-06 -1.43203e-11 4.66294e-15
8.50633e-06 -1.40545e-11 -1.73195e-14
8.42294e-06 -1.37721e-11 -1.82077e-14
8.34116e-06 -1.35032e-11 -5.77316e-15
8.26096e-06 -1.32556e-11 -1.11022e-14
8.18228e-06 -1.29703e-11 1.19904e-14
8.10509e-06 -1.27638e-11 -2.02061e-14
8.02934e-06 -1.25286e-11 7.54952e-15
7.955e-06 -1.22935e-11 1.62093e-14
7.88201e-06 -1.20499e-11 1.31006e-14
7.81036e-06 -1.18161e-11 4.66294e-15
7.74e-06 -1.16358e-11 -1.04361e-14
7.67089e-06 -1.14333e-11 -3.68594e-14
7.60301e-06 -1.12159e-11 2.22045e-15
7.53631e-06 -1.10258e-11 -2.5091e-14
7.47078e-06 -1.0814e-11 1.06581e-14
7.40638e-06 -1.06517e-11 -3.77476e-15
7.34307e-06 -1.04599e-11 3.19744e-14
7.28084e-06 -1.02771e-11 -6.88338e-15
7.21966e-06 -1.0117e-11 9.99201e-15
7.1595e-06 -9.94405e-12 1.93179e-14
7.10033e-06 -9.77551e-12 -2.88658e-15
7.04213e-06 -9.61231e-12 -3.55271e-15
6.98488e-06 -9.4873e-12 4.88498e-15
6.92855e-06 -9.31144e-12 5.32907e-15
6.87312e-06 -9.18132e-12 -1.64313e-14
6.81857e-06 -9.01013e-12 5.32907e-15
6.76488e-06 -8.87646e-12 -1.9984e-15
6.71203e-06 -8.75833e-12 -2.55351e-14
6.66e-06 -8.61755e-12 -2.33147e-14
6.60877e-06 -8.48699e-12 -2.95319e-14
6.55832e-06 -8.37463e-12 -3.08642e-14
6.50864e-06 -8.22764e-12 -2.88658e-14
6.4597e-06 -8.08842e-12 2.90878e-14
6.41149e-06 -7.97584e-12 -5.10703e-15
6.364e-06 -7.86859e-12 4.88498e-15
6.3172e-06 -7.73981e-12 1.68754e-14
6.27109e-06 -7.63478e-12 2.4869e-14
6.22565e-06 -7.52376e-12 -1.57652e-14
6.18086e-06 -7.38121e-12 2.06501e-14
6.13671e-06 -7.29261e-12 -4.66294e-15
6.09319e-06 -7.18781e-12 6.21725e-15
6.05028e-06 -7.09433e-12 3.33067e-15
6.00797e-06 -7.00284e-12 -2.22045e-16
5.96625e-06 -6.91136e-12 1.84297e-14
5.9251e-06 -6.83298e-12 -9.99201e-15
5.88452e-06 -6.71863e-12 2.26485e-14
5.84449e-06 -6.65312e-12 9.54792e-15
5.805e-06 -6.54388e-12 -1.37668e-14
5.76604e-06 -6.46083e-12 -8.88178e-15
5.7276e-06 -6.35825e-12 -4.44089e-16
5.68967e-06 -6.26366e-12 -1.55431e-15
5.65224e-06 -6.18283e-12 1.73195e-14
5.61529e-06 -6.13021e-12 8.88178e-16
5.57883e-06 -6.05005e-12 -2.88658e-15
5.54284e-06 -5.975e-12 -5.32907e-15
5.50731e-06 -5.90727e-12 9.99201e-15
5.47223e-06 -5.7887e-12 2.22045e-16
5.43759e-06 -5.75517e-12 -5.9952e-15
5.4034e-06 -5.67435e-12 -5.77316e-15
5.36963e-06 -5.5953e-12 -1.95399e-14
5.33627e-06 -5.54845e-12 6.88338e-15
5.30333e-06 -5.42477e-12 1.33227e-15
5.2708e-06 -5.39546e-12 -1.57652e-14
5.23866e-06 -5.31353e-12 7.32747e-15
5.20691e-06 -5.25291e-12 1.15463e-14
5.17554e-06 -5.18807e-12 1.55431e-15
5.14455e-06 -5.11569e-12 1.08802e-14
5.11393e-06 -5.10347e-12 -3.37508e-14
5.08367e-06 -5.00777e-12 1.5099e-14
5.05377e-06 -4.9567e-12 -9.76996e-15
5.02421e-06 -4.89164e-12 -4.21885e-15
4.995e-06 -4.86722e-12 -2.88658e-15
4.96613e-06 -4.79861e-12 -4.66294e-15
4.93759e-06 -4.74087e-12 9.32587e-15
4.90937e-06 -4.66871e-12 -2.22045e-15
4.88148e-06 -4.62275e-12 -5.32907e-15
4.8539e-06 -4.57678e-12 -1.9984e-14
4.82663e-06 -4.54237e-12 -2.79776e-14
4.79967e-06 -4.47331e-12 1.22125e-14
4.773e-06 -4.44e-12 -1.70974e-14
4.74663e-06 -4.37872e-12 2.19824e-14
4.72055e-06 -4.30367e-12 3.9968e-15
4.69475e-06 -4.28724e-12 1.77636e-15
4.66924e-06 -4.23728e-12 -2.22045e-15
4.644e-06 -4.1922e-12 1.11022e-14
4.61903e-06 -4.1207e-12 -5.10703e-15
4.59433e-06 -4.11449e-12 -1.04361e-14
4.56989e-06 -4.02078e-12 3.77476e-15
4.54572e-06 -3.99458e-12 -1.62093e-14
4.52179e-06 -3.96838e-12 6.66134e-15
4.49812e-06 -3.89244e-12 7.99361e-15
4.47469e-06 -3.88956e-12 1.64313e-14
4.4515e-06 -3.82117e-12 1.55431e-14
4.42856e-06 -3.81051e-12 -1.64313e-14
4.40585e-06 -3.78764e-12 -4.44089e-16
4.38337e-06 -3.73523e-12 -7.54952e-15
4.36112e-06 -3.66995e-12 8.88178e-16
4.33909e-06 -3.68661e-12 -2.44249e-15
