Rettangoli_naif , Trapezi , Simpson
10 , 0.0844824 , -0.00143166 , -9.53466e-07
20 , 0.0425991 , -0.00035796 , -5.96448e-08
30 , 0.0284789 , -0.000159097 , -1.17836e-08
40 , 0.021389 , -8.94929e-05 , -3.72863e-09
50 , 0.0171255 , -5.72757e-05 , -1.52729e-09
60 , 0.0142792 , -3.97749e-05 , -7.36551e-10
70 , 0.0122442 , -2.92224e-05 , -3.97575e-10
80 , 0.0107169 , -2.23734e-05 , -2.33053e-10
90 , 0.00952833 , -1.76778e-05 , -1.45494e-10
100 , 0.00857709 , -1.4319e-05 , -9.54591e-11
100 , 0.00857709 , -1.4319e-05 , -9.54591e-11
200 , 0.00429212 , -3.57975e-06 , -5.96638e-12
300 , 0.00286221 , -1.591e-06 , -1.17866e-12
400 , 0.00214696 , -8.94938e-07 , -3.73035e-13
500 , 0.00171771 , -5.72761e-07 , -1.5288e-13
600 , 0.0014315 , -3.9775e-07 , -7.38024e-14
700 , 0.00122705 , -2.92225e-07 , -3.99027e-14
800 , 0.0010737 , -2.23735e-07 , -2.34504e-14
900 , 0.000954424 , -1.76778e-07 , -1.46933e-14
1000 , 0.000858998 , -1.4319e-07 , -9.68995e-15
1000 , 0.000858998 , -1.4319e-07 , -9.68995e-15
2000 , 0.000429535 , -3.57975e-08 , -7.40402e-16
3000 , 0.000286364 , -1.591e-08 , -2.61726e-16
4000 , 0.000214776 , -8.94938e-09 , -1.82471e-16
5000 , 0.000171822 , -5.72761e-09 , -1.58402e-16
6000 , 0.000143186 , -3.9775e-09 , -1.52981e-16
7000 , 0.000122731 , -2.92225e-09 , -1.45717e-16
8000 , 0.00010739 , -2.23735e-09 , -1.46909e-16
9000 , 9.54583e-05 , -1.76778e-09 , -1.45283e-16
10000 , 8.59127e-05 , -1.4319e-09 , -1.44199e-16
11000 , 7.81025e-05 , -1.18339e-09 , -1.43982e-16
12000 , 7.15941e-05 , -9.94376e-10 , -1.44741e-16
13000 , 6.60869e-05 , -8.47279e-10 , -1.43223e-16
14000 , 6.13665e-05 , -7.30562e-10 , -1.42139e-16
15000 , 5.72754e-05 , -6.36401e-10 , -1.46584e-16
16000 , 5.36957e-05 , -5.59337e-10 , -1.46909e-16
17000 , 5.05372e-05 , -4.95468e-10 , -1.44307e-16
18000 , 4.77296e-05 , -4.41945e-10 , -1.39754e-16
19000 , 4.52175e-05 , -3.96649e-10 , -1.43006e-16
20000 , 4.29567e-05 , -3.57976e-10 , -1.46476e-16
21000 , 4.09111e-05 , -3.24694e-10 , -1.50704e-16
22000 , 3.90516e-05 , -2.95848e-10 , -1.40838e-16
23000 , 3.73537e-05 , -2.70681e-10 , -1.47343e-16
24000 , 3.57973e-05 , -2.48594e-10 , -1.43332e-16
25000 , 3.43654e-05 , -2.29104e-10 , -1.48427e-16
26000 , 3.30437e-05 , -2.1182e-10 , -1.45175e-16
27000 , 3.18198e-05 , -1.9642e-10 , -1.44416e-16
28000 , 3.06834e-05 , -1.82641e-10 , -1.4615e-16
29000 , 2.96254e-05 , -1.70262e-10 , -1.43006e-16
30000 , 2.86379e-05 , -1.591e-10 , -1.49078e-16
31000 , 2.77141e-05 , -1.49001e-10 , -1.50379e-16
32000 , 2.6848e-05 , -1.39834e-10 , -1.44524e-16
33000 , 2.60344e-05 , -1.31488e-10 , -1.43874e-16
34000 , 2.52687e-05 , -1.23867e-10 , -1.46476e-16
35000 , 2.45468e-05 , -1.1689e-10 , -1.43115e-16
36000 , 2.38649e-05 , -1.10486e-10 , -1.48644e-16
37000 , 2.32199e-05 , -1.04595e-10 , -1.47126e-16
38000 , 2.26089e-05 , -9.91623e-11 , -1.4962e-16
39000 , 2.20292e-05 , -9.41423e-11 , -1.47668e-16
40000 , 2.14784e-05 , -8.9494e-11 , -1.42356e-16
41000 , 2.09546e-05 , -8.51817e-11 , -1.40838e-16
42000 , 2.04557e-05 , -8.11737e-11 , -1.4821e-16
43000 , 1.99799e-05 , -7.74421e-11 , -1.4409e-16
44000 , 1.95259e-05 , -7.3962e-11 , -1.46042e-16
45000 , 1.90919e-05 , -7.07113e-11 , -1.47235e-16
46000 , 1.86769e-05 , -6.76703e-11 , -1.4203e-16
47000 , 1.82795e-05 , -6.48214e-11 , -1.45608e-16
48000 , 1.78987e-05 , -6.21487e-11 , -1.50162e-16
49000 , 1.75334e-05 , -5.96379e-11 , -1.47343e-16
