alfa            beta            gamma           eta
-0.161113       -0              0.999094        0
-0.260664       0.161113        1.61656         -0.999094
-0.260739       0.260664        1.61659         -1.61656
-0.160886       0.260739        0.999005        -1.61659
-0.000830479    0.160886        0.00032786      -0.999005
0.164208        0.000830479     -1.00032        -0.00032786
0.249113        -0.164208       -1.612          1.00032
0.303849        -0.249113       -1.63361        1.612
0               -0.303849       -0.935489       1.63361
0.601266        -0              -0.23737        0.935489
0               0               0               0
