x;y;func
0;0;0
0.0125664;0.0123564;0
0.0251327;0.024711;0
0.0376991;0.0370622;0
0.0502655;0.0494084;0
0.0628319;0.0617476;0
0.0753982;0.0740784;0
0.0879646;0.0863989;0
0.100531;0.0987074;0
0.113097;0.111002;0
0.125664;0.123282;0
0.13823;0.135544;0
0.150796;0.147788;0
0.163363;0.160011;0
0.175929;0.172212;0
0.188496;0.184389;0
0.201062;0.196541;0
0.213628;0.208665;0
0.226195;0.22076;0
0.238761;0.232824;0
0.251327;0.244856;0
0.263894;0.256854;0
0.27646;0.268816;0
0.289027;0.28074;0
0.301593;0.292625;0
0.314159;0.304469;0
0.326726;0.31627;0
0.339292;0.328027;0
0.351858;0.339738;0
0.364425;0.351401;0
0.376991;0.363015;0
0.389557;0.374577;0
0.402124;0.386087;0
0.41469;0.397541;0
0.427257;0.40894;0
0.439823;0.42028;0
0.452389;0.43156;0
0.464956;0.44278;0
0.477522;0.453935;0
0.490088;0.465026;0
0.502655;0.476051;0
0.515221;0.487007;0
0.527788;0.497893;0
0.540354;0.508707;0
0.55292;0.519448;0
0.565487;0.530114;0
0.578053;0.540703;0
0.590619;0.551213;0
0.603186;0.561643;0
0.615752;0.571992;0
0.628319;0.582256;0
0.640885;0.592435;0
0.653451;0.602527;0
0.666018;0.61253;0
0.678584;0.622443;0
0.69115;0.632264;0
0.703717;0.64199;0
0.716283;0.651621;0
0.728849;0.661155;0
0.741416;0.670589;0
0.753982;0.679923;0
0.766549;0.689155;0
0.779115;0.698282;0
0.791681;0.707303;0
0.804248;0.716217;0
0.816814;0.725021;0
0.82938;0.733715;0
0.841947;0.742296;0
0.854513;0.750762;0
0.86708;0.759112;0
0.879646;0.767344;0
0.892212;0.775457;0
0.904779;0.783449;0
0.917345;0.791318;0
0.929911;0.799062;0
0.942478;0.806679;0
0.955044;0.814169;0
0.967611;0.821529;0
0.980177;0.828757;0
0.992743;0.835852;0
1.00531;0.842812;0
1.01788;0.849636;0
1.03044;0.856321;0
1.04301;0.862866;0
1.05558;0.86927;0
1.06814;0.87553;0
